{'Device Status': 'Connected', 'Name': 'Gregory Callahan', 'User Name': 'craig15', 'MAC Address': '6f:19:66:ec:88:bb', 'IP Address': '73.205.105.74', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -45, 'Best RSSI (dBm)': -39, 'Uplink Data': 222888, 'Downlink Data': 678313, 'Avg. data rate': 531, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 15, 46, 28, 4485), 'First Detected At': datetime.datetime(2024, 2, 5, 1, 27, 38, 269590), 'Location': 'Dianaside', 'Sticky': True, 'Tag': 'city'}
{'Device Status': 'Failed', 'Name': 'Michael Smith', 'User Name': 'flucero', 'MAC Address': 'aa:b7:4a:a6:93:76', 'IP Address': '27.223.76.148', 'OS': 'Linux', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -54, 'Best RSSI (dBm)': -45, 'Uplink Data': 487102, 'Downlink Data': 348429, 'Avg. data rate': 781, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 9, 10, 35, 47280), 'First Detected At': datetime.datetime(2024, 1, 29, 17, 21, 9, 213439), 'Location': 'Jessicaview', 'Sticky': False, 'Tag': 'decade'}
{'Device Status': 'Failed', 'Name': 'Samantha Guerra', 'User Name': 'martinezjames', 'MAC Address': '68:09:83:4c:8b:d1', 'IP Address': '122.121.125.116', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -79, 'Best RSSI (dBm)': -39, 'Uplink Data': 234615, 'Downlink Data': 878749, 'Avg. data rate': 449, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 13, 21, 25, 809617), 'First Detected At': datetime.datetime(2024, 2, 4, 18, 27, 32, 420979), 'Location': 'Jamesmouth', 'Sticky': True, 'Tag': 'day'}
{'Device Status': 'Connected', 'Name': 'Robert Williams', 'User Name': 'coreystein', 'MAC Address': '2f:f2:ae:27:9c:bf', 'IP Address': '22.178.245.182', 'OS': 'Linux', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -82, 'Best RSSI (dBm)': -82, 'Uplink Data': 762286, 'Downlink Data': 287378, 'Avg. data rate': 978, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 12, 33, 53, 174157), 'First Detected At': datetime.datetime(2024, 1, 19, 18, 51, 12, 238967), 'Location': 'Woodmouth', 'Sticky': False, 'Tag': 'treatment'}
{'Device Status': 'Failed', 'Name': 'Christopher Caldwell', 'User Name': 'sharonguerrero', 'MAC Address': '13:83:68:ea:94:29', 'IP Address': '123.70.92.134', 'OS': 'Linux', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -63, 'Best RSSI (dBm)': -38, 'Uplink Data': 672052, 'Downlink Data': 841365, 'Avg. data rate': 416, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 6, 7, 51, 75003), 'First Detected At': datetime.datetime(2024, 1, 12, 1, 42, 36, 213904), 'Location': 'New Tannerton', 'Sticky': False, 'Tag': 'fact'}
{'Device Status': 'Failed', 'Name': 'Meagan Davis', 'User Name': 'brandi72', 'MAC Address': '60:ed:ea:60:59:4c', 'IP Address': '145.51.194.147', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -79, 'Best RSSI (dBm)': -83, 'Uplink Data': 360625, 'Downlink Data': 17597, 'Avg. data rate': 951, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 4, 31, 17, 228315), 'First Detected At': datetime.datetime(2024, 1, 13, 15, 58, 51, 589125), 'Location': 'East Lisaside', 'Sticky': False, 'Tag': 'raise'}
{'Device Status': 'Failed', 'Name': 'Joshua Good', 'User Name': 'sjimenez', 'MAC Address': '13:0f:2b:e3:5a:e5', 'IP Address': '204.124.209.2', 'OS': 'Linux', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -83, 'Best RSSI (dBm)': -85, 'Uplink Data': 486466, 'Downlink Data': 966018, 'Avg. data rate': 50, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 22, 0, 22, 55932), 'First Detected At': datetime.datetime(2024, 2, 5, 3, 48, 26, 999183), 'Location': 'New Donald', 'Sticky': True, 'Tag': 'letter'}
{'Device Status': 'Failed', 'Name': 'Angela Williams', 'User Name': 'emily93', 'MAC Address': 'c2:14:64:0c:ee:79', 'IP Address': '212.155.122.67', 'OS': 'macOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -64, 'Best RSSI (dBm)': -32, 'Uplink Data': 516930, 'Downlink Data': 197759, 'Avg. data rate': 957, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 12, 12, 0, 395506), 'First Detected At': datetime.datetime(2024, 1, 29, 16, 36, 12, 783558), 'Location': 'New Zoe', 'Sticky': False, 'Tag': 'protect'}
{'Device Status': 'Connected', 'Name': 'Daniel Robinson', 'User Name': 'christinastewart', 'MAC Address': '4a:b6:e0:97:4b:0a', 'IP Address': '223.110.234.8', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -76, 'Best RSSI (dBm)': -86, 'Uplink Data': 627023, 'Downlink Data': 171944, 'Avg. data rate': 890, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 23, 31, 40, 207130), 'First Detected At': datetime.datetime(2024, 1, 21, 18, 38, 59, 383298), 'Location': 'West Cesarmouth', 'Sticky': True, 'Tag': 'visit'}
{'Device Status': 'Failed', 'Name': 'Anne Quinn', 'User Name': 'colecody', 'MAC Address': 'f2:5e:13:f7:3c:63', 'IP Address': '150.111.247.245', 'OS': 'macOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -45, 'Best RSSI (dBm)': -72, 'Uplink Data': 566607, 'Downlink Data': 857427, 'Avg. data rate': 687, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 8, 8, 42, 838178), 'First Detected At': datetime.datetime(2024, 1, 13, 12, 17, 50, 550824), 'Location': 'East Julieland', 'Sticky': True, 'Tag': 'garden'}
{'Device Status': 'Failed', 'Name': 'Tiffany Petty', 'User Name': 'kaitlynsmith', 'MAC Address': '65:2c:34:16:ca:d9', 'IP Address': '85.63.89.125', 'OS': 'Windows', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -77, 'Best RSSI (dBm)': -86, 'Uplink Data': 964016, 'Downlink Data': 586834, 'Avg. data rate': 501, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 10, 20, 7, 200605), 'First Detected At': datetime.datetime(2024, 2, 7, 9, 58, 13, 850888), 'Location': 'Longville', 'Sticky': True, 'Tag': 'Congress'}
{'Device Status': 'Failed', 'Name': 'Amanda Hicks', 'User Name': 'paulmartin', 'MAC Address': '5b:ed:d8:7d:d7:1a', 'IP Address': '165.97.16.177', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -73, 'Best RSSI (dBm)': -62, 'Uplink Data': 75699, 'Downlink Data': 495929, 'Avg. data rate': 612, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 11, 56, 11, 59888), 'First Detected At': datetime.datetime(2024, 2, 5, 10, 32, 57, 862955), 'Location': 'Jillianstad', 'Sticky': False, 'Tag': 'southern'}
{'Device Status': 'Failed', 'Name': 'Mrs. Tina Cantrell', 'User Name': 'thomascarney', 'MAC Address': '3d:8b:1d:88:0e:d4', 'IP Address': '220.84.209.155', 'OS': 'iOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -89, 'Best RSSI (dBm)': -84, 'Uplink Data': 565491, 'Downlink Data': 163119, 'Avg. data rate': 462, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 7, 34, 17, 418594), 'First Detected At': datetime.datetime(2024, 1, 6, 2, 35, 30, 539048), 'Location': 'South Davidtown', 'Sticky': False, 'Tag': 'several'}
{'Device Status': 'Connected', 'Name': 'Carl Keller', 'User Name': 'aguilarjacqueline', 'MAC Address': '4b:89:a8:0a:fd:5d', 'IP Address': '130.196.18.95', 'OS': 'Linux', 'Associated Access Point': 'AP3', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -67, 'Best RSSI (dBm)': -86, 'Uplink Data': 706207, 'Downlink Data': 187616, 'Avg. data rate': 649, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 18, 25, 43, 398504), 'First Detected At': datetime.datetime(2024, 1, 5, 15, 53, 58, 289760), 'Location': 'South Danielchester', 'Sticky': True, 'Tag': 'interest'}
{'Device Status': 'Failed', 'Name': 'Cynthia Adams', 'User Name': 'zburns', 'MAC Address': 'e0:ad:56:56:44:39', 'IP Address': '178.140.86.122', 'OS': 'Windows', 'Associated Access Point': 'AP1', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -48, 'Best RSSI (dBm)': -43, 'Uplink Data': 854735, 'Downlink Data': 725538, 'Avg. data rate': 131, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 20, 36, 28, 195737), 'First Detected At': datetime.datetime(2024, 1, 25, 12, 2, 5, 12044), 'Location': 'Lauratown', 'Sticky': False, 'Tag': 'watch'}
{'Device Status': 'Connected', 'Name': 'Gary Schwartz', 'User Name': 'sierrastone', 'MAC Address': '15:8e:03:d1:b7:0e', 'IP Address': '200.116.0.151', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -87, 'Best RSSI (dBm)': -94, 'Uplink Data': 43799, 'Downlink Data': 127398, 'Avg. data rate': 834, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 13, 41, 9, 202374), 'First Detected At': datetime.datetime(2024, 1, 22, 20, 41, 52, 28841), 'Location': 'South Nathanberg', 'Sticky': True, 'Tag': 'level'}
{'Device Status': 'Failed', 'Name': 'Gregory Bowers', 'User Name': 'cheryl08', 'MAC Address': '10:27:7d:7c:2c:3a', 'IP Address': '60.202.99.252', 'OS': 'iOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -88, 'Best RSSI (dBm)': -81, 'Uplink Data': 55552, 'Downlink Data': 835443, 'Avg. data rate': 884, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 21, 24, 1, 42603), 'First Detected At': datetime.datetime(2024, 1, 8, 15, 39, 10, 93534), 'Location': 'West Lukefurt', 'Sticky': False, 'Tag': 'common'}
{'Device Status': 'Connected', 'Name': 'Savannah Henry', 'User Name': 'rebeccafowler', 'MAC Address': '2f:82:91:8f:53:91', 'IP Address': '7.17.47.34', 'OS': 'Android', 'Associated Access Point': 'AP2', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -85, 'Best RSSI (dBm)': -74, 'Uplink Data': 393125, 'Downlink Data': 940985, 'Avg. data rate': 166, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 4, 47, 21, 469456), 'First Detected At': datetime.datetime(2024, 1, 19, 20, 30, 58, 228266), 'Location': 'East Amanda', 'Sticky': True, 'Tag': 'catch'}
{'Device Status': 'Failed', 'Name': 'Christian Jones', 'User Name': 'james28', 'MAC Address': '1c:de:dd:5a:81:86', 'IP Address': '203.156.0.120', 'OS': 'iOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -83, 'Best RSSI (dBm)': -90, 'Uplink Data': 144710, 'Downlink Data': 584484, 'Avg. data rate': 105, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 14, 54, 32, 649608), 'First Detected At': datetime.datetime(2024, 2, 5, 19, 8, 45, 251043), 'Location': 'Monicaview', 'Sticky': False, 'Tag': 'cover'}
{'Device Status': 'Connected', 'Name': 'Linda Jensen', 'User Name': 'lgrant', 'MAC Address': '90:7a:f5:7b:83:cf', 'IP Address': '148.140.20.64', 'OS': 'macOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -83, 'Best RSSI (dBm)': -32, 'Uplink Data': 68587, 'Downlink Data': 445938, 'Avg. data rate': 455, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 4, 54, 8, 724652), 'First Detected At': datetime.datetime(2024, 1, 16, 20, 9, 15, 143075), 'Location': 'Samanthachester', 'Sticky': False, 'Tag': 'race'}
{'Device Status': 'Failed', 'Name': 'Jennifer Cole', 'User Name': 'zduncan', 'MAC Address': '73:18:a5:f0:4a:7d', 'IP Address': '212.27.48.44', 'OS': 'Linux', 'Associated Access Point': 'AP2', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -33, 'Best RSSI (dBm)': -93, 'Uplink Data': 737260, 'Downlink Data': 393427, 'Avg. data rate': 372, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 12, 5, 24, 931901), 'First Detected At': datetime.datetime(2024, 1, 14, 11, 50, 58, 805567), 'Location': 'Smithburgh', 'Sticky': False, 'Tag': 'price'}
{'Device Status': 'Failed', 'Name': 'Kevin Hill', 'User Name': 'milesshaun', 'MAC Address': '21:5f:2c:bb:52:c4', 'IP Address': '213.184.133.40', 'OS': 'macOS', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -65, 'Best RSSI (dBm)': -70, 'Uplink Data': 649551, 'Downlink Data': 39451, 'Avg. data rate': 577, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 5, 27, 39, 517746), 'First Detected At': datetime.datetime(2024, 1, 14, 0, 28, 37, 634295), 'Location': 'Lake Natashaview', 'Sticky': True, 'Tag': 'defense'}
{'Device Status': 'Connected', 'Name': 'Kimberly Durham', 'User Name': 'phart', 'MAC Address': '92:5c:ae:e1:76:49', 'IP Address': '119.144.233.175', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -78, 'Best RSSI (dBm)': -91, 'Uplink Data': 186265, 'Downlink Data': 653483, 'Avg. data rate': 345, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 0, 3, 14, 155307), 'First Detected At': datetime.datetime(2024, 1, 15, 22, 43, 48, 42954), 'Location': 'New Ronald', 'Sticky': False, 'Tag': 'candidate'}
{'Device Status': 'Failed', 'Name': 'Connie Brown', 'User Name': 'cory33', 'MAC Address': '60:d0:62:73:39:7b', 'IP Address': '54.245.40.187', 'OS': 'macOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -66, 'Best RSSI (dBm)': -39, 'Uplink Data': 688419, 'Downlink Data': 508210, 'Avg. data rate': 713, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 9, 17, 35, 645434), 'First Detected At': datetime.datetime(2024, 1, 20, 8, 39, 49, 60941), 'Location': 'Martinezburgh', 'Sticky': False, 'Tag': 'happy'}
{'Device Status': 'Connected', 'Name': 'Erin Jones', 'User Name': 'scott36', 'MAC Address': '56:9b:27:67:50:5d', 'IP Address': '65.37.12.167', 'OS': 'Linux', 'Associated Access Point': 'AP2', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -31, 'Best RSSI (dBm)': -66, 'Uplink Data': 261295, 'Downlink Data': 99634, 'Avg. data rate': 186, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 17, 13, 15, 728166), 'First Detected At': datetime.datetime(2024, 1, 4, 8, 17, 53, 614246), 'Location': 'Hoodborough', 'Sticky': False, 'Tag': 'last'}
{'Device Status': 'Connected', 'Name': 'Charles Chambers', 'User Name': 'gonzalezmarie', 'MAC Address': 'fb:3b:ca:b2:b6:79', 'IP Address': '172.56.49.142', 'OS': 'Linux', 'Associated Access Point': 'AP3', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -34, 'Best RSSI (dBm)': -49, 'Uplink Data': 98526, 'Downlink Data': 773941, 'Avg. data rate': 760, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 4, 25, 0, 600487), 'First Detected At': datetime.datetime(2024, 1, 25, 12, 13, 59, 365525), 'Location': 'New Emilymouth', 'Sticky': False, 'Tag': 'card'}
{'Device Status': 'Failed', 'Name': 'Charles Wallace', 'User Name': 'tyler24', 'MAC Address': '0d:0e:06:c7:63:00', 'IP Address': '143.182.193.224', 'OS': 'Android', 'Associated Access Point': 'AP3', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -31, 'Best RSSI (dBm)': -82, 'Uplink Data': 144291, 'Downlink Data': 178015, 'Avg. data rate': 920, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 10, 25, 7, 297103), 'First Detected At': datetime.datetime(2024, 1, 3, 21, 20, 10, 232164), 'Location': 'Wendyborough', 'Sticky': True, 'Tag': 'may'}
{'Device Status': 'Failed', 'Name': 'Carrie Larson', 'User Name': 'carrolldiana', 'MAC Address': '28:f6:cf:52:00:9a', 'IP Address': '148.157.93.50', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -68, 'Best RSSI (dBm)': -80, 'Uplink Data': 149764, 'Downlink Data': 281648, 'Avg. data rate': 995, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 19, 8, 54, 681779), 'First Detected At': datetime.datetime(2024, 1, 1, 9, 30, 35, 228030), 'Location': 'East Nathaniel', 'Sticky': False, 'Tag': 'answer'}
{'Device Status': 'Failed', 'Name': 'George Jimenez', 'User Name': 'ronald94', 'MAC Address': '32:7e:fc:f9:25:f2', 'IP Address': '140.159.130.214', 'OS': 'macOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -48, 'Best RSSI (dBm)': -94, 'Uplink Data': 785106, 'Downlink Data': 12335, 'Avg. data rate': 44, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 15, 35, 33, 304051), 'First Detected At': datetime.datetime(2024, 1, 12, 18, 11, 30, 638650), 'Location': 'New Richard', 'Sticky': True, 'Tag': 'nearly'}
{'Device Status': 'Connected', 'Name': 'Ethan Sawyer', 'User Name': 'patrickcarter', 'MAC Address': '97:68:c9:97:3d:a1', 'IP Address': '161.190.247.218', 'OS': 'Android', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -56, 'Best RSSI (dBm)': -32, 'Uplink Data': 216269, 'Downlink Data': 80270, 'Avg. data rate': 698, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 7, 44, 15, 636477), 'First Detected At': datetime.datetime(2024, 1, 21, 4, 16, 34, 717229), 'Location': 'East Michele', 'Sticky': True, 'Tag': 'put'}
{'Device Status': 'Connected', 'Name': 'Jasmin Thompson', 'User Name': 'mikayla65', 'MAC Address': '89:08:be:6b:f8:c0', 'IP Address': '94.116.92.93', 'OS': 'iOS', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -74, 'Best RSSI (dBm)': -81, 'Uplink Data': 688647, 'Downlink Data': 422168, 'Avg. data rate': 990, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 10, 42, 16, 936918), 'First Detected At': datetime.datetime(2024, 1, 15, 5, 45, 12, 227197), 'Location': 'West Kevin', 'Sticky': True, 'Tag': 'analysis'}
{'Device Status': 'Connected', 'Name': 'Michelle Brandt', 'User Name': 'hstewart', 'MAC Address': '63:66:5a:b6:f9:e6', 'IP Address': '36.119.217.223', 'OS': 'Linux', 'Associated Access Point': 'AP1', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -46, 'Best RSSI (dBm)': -57, 'Uplink Data': 314394, 'Downlink Data': 246554, 'Avg. data rate': 556, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 20, 36, 40, 949947), 'First Detected At': datetime.datetime(2024, 1, 8, 10, 53, 45, 252148), 'Location': 'Elizabethtown', 'Sticky': True, 'Tag': 'arm'}
{'Device Status': 'Connected', 'Name': 'John Barrera', 'User Name': 'blackdylan', 'MAC Address': 'c8:07:02:c2:7e:9c', 'IP Address': '142.228.9.221', 'OS': 'Windows', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -74, 'Best RSSI (dBm)': -40, 'Uplink Data': 417303, 'Downlink Data': 510354, 'Avg. data rate': 467, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 2, 22, 59, 32, 931153), 'First Detected At': datetime.datetime(2024, 1, 29, 3, 43, 52, 443488), 'Location': 'East Theresa', 'Sticky': True, 'Tag': 'capital'}
{'Device Status': 'Connected', 'Name': 'Mr. Thomas Walton', 'User Name': 'warnerkyle', 'MAC Address': 'd7:e6:38:d9:de:9d', 'IP Address': '57.213.2.141', 'OS': 'Windows', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -31, 'Best RSSI (dBm)': -97, 'Uplink Data': 388318, 'Downlink Data': 126401, 'Avg. data rate': 150, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 15, 36, 50, 10847), 'First Detected At': datetime.datetime(2024, 2, 4, 13, 40, 53, 943568), 'Location': 'New Cherylstad', 'Sticky': False, 'Tag': 'adult'}
{'Device Status': 'Connected', 'Name': 'Courtney Le', 'User Name': 'nicholashardy', 'MAC Address': 'ce:bc:a0:19:e3:79', 'IP Address': '178.141.27.62', 'OS': 'iOS', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -35, 'Best RSSI (dBm)': -66, 'Uplink Data': 768606, 'Downlink Data': 728570, 'Avg. data rate': 219, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 12, 19, 28, 786559), 'First Detected At': datetime.datetime(2024, 1, 6, 13, 33, 44, 511305), 'Location': 'North Carol', 'Sticky': True, 'Tag': 'nice'}
{'Device Status': 'Connected', 'Name': 'Kayla Rios', 'User Name': 'princefred', 'MAC Address': '4e:0a:42:67:1c:48', 'IP Address': '121.123.198.100', 'OS': 'Android', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -42, 'Best RSSI (dBm)': -82, 'Uplink Data': 2697, 'Downlink Data': 383557, 'Avg. data rate': 743, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 2, 29, 18, 448897), 'First Detected At': datetime.datetime(2024, 2, 5, 14, 9, 42, 913634), 'Location': 'South Stephaniebury', 'Sticky': True, 'Tag': 'inside'}
{'Device Status': 'Connected', 'Name': 'Dustin Hammond', 'User Name': 'robertsandrew', 'MAC Address': '2b:60:97:b8:42:c2', 'IP Address': '208.108.207.230', 'OS': 'Android', 'Associated Access Point': 'AP2', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -94, 'Best RSSI (dBm)': -53, 'Uplink Data': 865826, 'Downlink Data': 924050, 'Avg. data rate': 577, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 10, 49, 56, 476811), 'First Detected At': datetime.datetime(2024, 1, 11, 11, 18, 0, 491122), 'Location': 'Lake Benjamintown', 'Sticky': False, 'Tag': 'front'}
{'Device Status': 'Failed', 'Name': 'Tim Chambers', 'User Name': 'nicole40', 'MAC Address': '35:e6:4e:66:ed:a4', 'IP Address': '89.45.165.90', 'OS': 'Android', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -87, 'Best RSSI (dBm)': -79, 'Uplink Data': 117413, 'Downlink Data': 206780, 'Avg. data rate': 124, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 2, 12, 54, 26, 170412), 'First Detected At': datetime.datetime(2024, 1, 16, 0, 47, 30, 508961), 'Location': 'East Ashley', 'Sticky': False, 'Tag': 'too'}
{'Device Status': 'Failed', 'Name': 'Rachel Miller', 'User Name': 'brandi67', 'MAC Address': '1f:14:29:54:74:33', 'IP Address': '179.157.91.75', 'OS': 'Linux', 'Associated Access Point': 'AP1', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -70, 'Best RSSI (dBm)': -49, 'Uplink Data': 196241, 'Downlink Data': 30559, 'Avg. data rate': 660, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 7, 13, 27, 18, 792395), 'First Detected At': datetime.datetime(2024, 1, 21, 1, 33, 11, 398453), 'Location': 'New Triciashire', 'Sticky': False, 'Tag': 'always'}
{'Device Status': 'Connected', 'Name': 'Joshua Franco MD', 'User Name': 'jennifermartinez', 'MAC Address': '10:64:40:9d:61:71', 'IP Address': '75.73.247.214', 'OS': 'Linux', 'Associated Access Point': 'AP3', 'Associated SSID': 'OfficeWiFi', 'RSSI (dBm)': -52, 'Best RSSI (dBm)': -72, 'Uplink Data': 499054, 'Downlink Data': 466189, 'Avg. data rate': 400, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 4, 14, 2, 2, 451568), 'First Detected At': datetime.datetime(2024, 1, 8, 0, 28, 42, 564345), 'Location': 'South Dylan', 'Sticky': False, 'Tag': 'later'}
{'Device Status': 'Failed', 'Name': 'Carrie Russo', 'User Name': 'nicholaslittle', 'MAC Address': '19:f1:bd:47:1f:1e', 'IP Address': '136.31.173.251', 'OS': 'Windows', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -81, 'Best RSSI (dBm)': -72, 'Uplink Data': 45332, 'Downlink Data': 975240, 'Avg. data rate': 691, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 5, 5, 49, 12, 99205), 'First Detected At': datetime.datetime(2024, 2, 1, 0, 12, 52, 517987), 'Location': 'Jamesborough', 'Sticky': False, 'Tag': 'economy'}
{'Device Status': 'Failed', 'Name': 'Heather Williams', 'User Name': 'amanda81', 'MAC Address': '79:9c:6e:6d:73:f9', 'IP Address': '155.62.81.178', 'OS': 'Linux', 'Associated Access Point': 'AP1', 'Associated SSID': 'HomeNetwork', 'RSSI (dBm)': -81, 'Best RSSI (dBm)': -69, 'Uplink Data': 871078, 'Downlink Data': 745502, 'Avg. data rate': 144, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 6, 5, 25, 4, 286087), 'First Detected At': datetime.datetime(2024, 2, 1, 15, 16, 1, 125556), 'Location': 'Whiteberg', 'Sticky': True, 'Tag': 'forget'}
{'Device Status': 'Failed', 'Name': 'Monica Patton', 'User Name': 'brittanysoto', 'MAC Address': '0b:6b:bf:5a:88:93', 'IP Address': '180.237.108.31', 'OS': 'Linux', 'Associated Access Point': 'AP2', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -40, 'Best RSSI (dBm)': -54, 'Uplink Data': 515885, 'Downlink Data': 331169, 'Avg. data rate': 871, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 1, 16, 58, 11, 114152), 'First Detected At': datetime.datetime(2024, 1, 13, 0, 1, 40, 169798), 'Location': 'West Christinechester', 'Sticky': True, 'Tag': 'else'}
{'Device Status': 'Connected', 'Name': 'Jacob Mcclain', 'User Name': 'mitchelljennifer', 'MAC Address': '57:e8:76:88:33:50', 'IP Address': '77.171.215.189', 'OS': 'Linux', 'Associated Access Point': 'AP1', 'Associated SSID': 'PublicHotspot', 'RSSI (dBm)': -92, 'Best RSSI (dBm)': -65, 'Uplink Data': 112320, 'Downlink Data': 130303, 'Avg. data rate': 945, 'Connected / Disconnected Since': datetime.datetime(2024, 2, 3, 12, 4, 59, 615173), 'First Detected At': datetime.datetime(2024, 2, 6, 23, 47, 57, 897822), 'Location': 'East Crystalbury', 'Sticky': True, 'Tag': 'live'}
